Wavelength (nm),Sensitivity multiplier
206.1640892,0.00002
206.1709714,0.00002
206.1778535,0.00002
206.1847346,0.00002
206.1916158,0.00002
206.1984969,0.00002
206.2016944,0.00002
206.2053771,0.00002
206.2087176,0.00002
206.2157398,0.00002
206.222762,0.00002
206.2297842,0.00002
206.2368054,0.00002
206.2438266,0.00002
206.2508468,0.00002
206.257867,0.00002
206.2648872,0.00002
206.2719064,0.00002
206.2789256,0.00002
206.2859438,0.00002
206.292962,0.00002
206.2999802,0.00002
206.3069974,0.00002
206.3140146,0.00002
206.3210318,0.00002
206.328048,0.00002
206.3350642,0.00002
206.3420794,0.00002
206.3490946,0.00002
206.3561098,0.00002
206.363124,0.00002
206.3701382,0.00002
206.3771524,0.00002
206.3841656,0.00002
206.3911788,0.00002
206.398191,0.00002
206.4052032,0.00002
206.4122154,0.00002
206.4192266,0.00002
206.4262378,0.00002
206.433248,0.00002
206.4402582,0.00002
206.4472684,0.00002
206.4542776,0.00002
206.4612868,0.00002
206.468296,0.00002
206.4753041,0.00002
206.4823123,0.00002
206.4893195,0.00002
206.4963267,0.00002
206.5033339,0.00002
206.5103401,0.00002
206.5173463,0.00002
206.5243515,0.00002
206.5313577,0.00002
206.5383619,0.00002
206.5453671,0.00002
206.5523713,0.00002
206.5593745,0.00002
206.5663786,0.00002
206.5733808,0.00002
206.580384,0.00002
206.5873862,0.00002
206.5943884,0.00002
206.6013896,0.00002
206.6083908,0.00002
206.615391,0.00002
206.6223922,0.00002
206.6293913,0.00002
206.6363915,0.00002
206.6433907,0.00002
206.6503889,0.00002
206.6573881,0.00002
206.6643853,0.00002
206.6713835,0.00002
206.6783807,0.00002
206.6853778,0.00002
206.692374,0.00002
206.6993702,0.00002
206.7063664,0.00002
206.7133616,0.00002
206.7203568,0.00002
206.727351,0.00002
206.7343451,0.00002
206.7413393,0.00002
206.7483325,0.00002
206.7553257,0.00002
206.7623179,0.00002
206.7693111,0.00002
206.7763022,0.00002
206.7832944,0.00002
206.7902856,0.00002
206.7972758,0.00002
206.804267,0.00002
206.8112561,0.00002
206.8182463,0.00002
206.8252355,0.00002
206.8322247,0.00002
206.8392129,0.00002
206.846201,0.00002
206.8531882,0.00002
206.8601754,0.00002
206.8671626,0.00002
206.8741498,0.00002
206.8811359,0.00002
